#
#   version : pre1.0-239-gcf65bfc
#    num_fr : 69
#    num_tr : 3625
#      time : 20180521 03:54:53.972 UTC
#      unix : 1526874893.972926
#       ntp : LOCK 13218 6756 4
#       seq : 81741
#       mul : 0 [A]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : Elginfield_Wide_G4-18-C
#    stream : KT
#     plate : metal_20180201_02_pre1.0-177-g5127e76
#      geom : 900 900
#    filter : 0
#
#  fr    time    sum     seq       cx       cy      th      phi     lsp    mag  flag   bak    max
   74  -0.213  43756   81724  170.358  128.812  36.491   69.999 -11.464   4.57  0000 474.4 1663.0
   75  -0.200  48078   81725  175.053  130.723  36.638   70.193 -11.551   4.48  0000 497.3 1928.0
   76  -0.188  37451   81726  178.392  132.530  36.738   70.357 -11.125   4.90  0000 514.9 1738.0
   77  -0.175  54261   81727  184.421  135.583  36.921   70.638 -11.632   4.40  0000 549.3 2241.0
   78  -0.163  60591   81728  189.080  138.234  37.061   70.871 -11.836   4.19  0000 584.7 2204.0
   79  -0.150  80848   81729  193.262  140.515  37.187   71.073 -12.204   3.83  0000 608.8 2889.0
   80  -0.138  91917   81730  197.340  141.871  37.319   71.218 -12.396   3.63  0000 628.4 3080.0
   81  -0.125 104916   81731  202.805  144.842  37.485   71.479 -12.617   3.41  0000 658.5 3460.0
   82  -0.113 107891   81732  207.022  147.351  37.612   71.692 -12.565   3.46  0000 685.8 3551.0
   83  -0.100 116658   81733  211.559  149.852  37.751   71.907 -12.694   3.34  0000 707.9 3504.0
   84  -0.088 151344   81734  215.975  152.222  37.887   72.112 -13.071   2.96  0000 733.2 4739.0
   84  -0.088 155196   81734  216.239  152.508  37.894   72.133 -13.069   2.96  0004 736.6 4739.0
   85  -0.075 147554   81735  220.518  154.559  38.028   72.316 -12.980   3.05  0000 756.2 4575.0
   86  -0.063 197827   81736  225.205  156.484  38.179   72.497 -13.356   2.67  0000 781.4 5329.0
   87  -0.050 198666   81737  229.749  159.088  38.318   72.714 -13.405   2.63  0000 808.9 5760.0
   87  -0.050 203149   81737  229.930  159.649  38.320   72.749 -13.406   2.62  0004 808.6 5760.0
   88  -0.038 206772   81738  234.465  161.010  38.471   72.892 -13.391   2.64  0000 834.5 5641.0
   89  -0.025 213943   81739  238.417  163.303  38.593   73.080 -13.414   2.62  0000 857.4 6316.0
   89  -0.025 225533   81739  239.027  163.506  38.613   73.100 -13.420   2.61  0004 861.0 6316.0
   90  -0.013 243158   81740  243.085  165.719  38.740   73.284 -13.634   2.40  0000 884.8 6762.0
   91   0.000 293177   81741  247.430  167.992  38.877   73.474 -13.787   2.24  0000 908.8 7731.0
   91   0.000 293597   81741  247.754  167.997  38.888   73.479 -13.787   2.24  0004 908.8 7731.0
   92   0.013 290961   81742  251.685  170.372  39.010   73.668 -13.798   2.23  0000 937.8 7706.0
   93   0.025 275176   81743  256.346  172.336  39.162   73.843 -13.775   2.25  0000 979.7 7714.0
   93   0.025 273916   81743  256.939  172.364  39.183   73.852 -13.775   2.25  0004 979.7 7714.0
   94   0.038 289511   81744  260.446  174.564  39.291   74.024 -13.774   2.26  0000 1016.8 8159.0
   95   0.050 282066   81745  264.149  176.894  39.406   74.205 -13.757   2.27  0000 1039.8 8343.0
