#
#   version : pre1.0-239-gcf65bfc
#    num_fr : 29
#    num_tr : 0
#      time : 20180521 08:13:02.692 UTC
#      unix : 1526890382.692668
#       ntp : LOCK -7780 7245 3
#       seq : 72937
#       mul : 1 [B]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : Elginfield_Wide_G4-18-C
#    stream : KT
#     plate : metal_20180201_02_pre1.0-177-g5127e76
#      geom : 900 900
#    filter : 0
#
#  fr    time    sum     seq       cx       cy      th      phi     lsp    mag  flag   bak    max
   80   0.000 677831   72937    3.686  539.289  28.559   96.969 -14.947   1.08  0000 340.7 16383.0
   80   0.000 777351   72937    3.512  540.681  28.557   97.076 -14.955   1.08  0004 340.5 16383.0
   81   0.013 766333   72938    3.343  541.037  28.551   97.104 -14.893   1.14  0000 341.2 16383.0
   89   0.113 580400   72946    3.428  538.687  28.548   96.924 -14.629   1.40  0000 342.6 16383.0
   97   0.213 394141   72954    3.940  536.899  28.562   96.784 -14.255   1.77  0000 343.6 13484.0
  103   0.288 326300   72960    4.679  535.009  28.584   96.635 -14.107   1.92  0000 348.7 6993.0
  107   0.338 279544   72964    4.841  533.792  28.587   96.541 -13.952   2.08  0000 348.4 4547.0
  112   0.401 237727   72969    5.097  531.205  28.590   96.342 -13.840   2.19  0000 351.3 3475.0
  118   0.476 187816   72975    5.069  528.210  28.581   96.113 -13.627   2.40  0000 350.3 2392.0
  127   0.588 165243   72984    5.246  525.093  28.581   95.873 -13.490   2.54  0000 351.8 2055.0
  132   0.651 150220   72989    5.450  523.163  28.584   95.725 -13.381   2.65  0000 352.8 1926.0
  137   0.714 113795   72994    6.379  520.293  28.612   95.501 -13.255   2.77  0000 356.1 1770.0
  139   0.739 108687   72996    6.652  518.424  28.618   95.356 -13.166   2.86  0000 355.6 1585.0
  141   0.764  92024   72998    6.061  516.220  28.592   95.190 -12.996   3.03  0000 355.6 1578.0
  141   0.764  96313   72998    6.093  518.026  28.597   95.328 -13.063   2.97  0004 356.5 1578.0
  142   0.776  77139   72999    7.375  516.113  28.641   95.177 -12.946   3.08  0000 358.7 1663.0
  143   0.789  74666   73000    8.636  516.585  28.688   95.207 -12.973   3.06  0000 362.2 1532.0
  144   0.801  90414   73001    7.996  514.085  28.660   95.019 -13.109   2.92  0000 359.1 1638.0
  144   0.801 103645   73001    7.909  516.574  28.661   95.210 -13.174   2.86  0004 359.9 1638.0
  151   0.889  77321   73008    6.475  517.361  28.610   95.276 -12.806   3.22  0000 361.1 1243.0
  152   0.901  71304   73009    7.215  513.986  28.631   95.014 -12.808   3.22  0000 362.3 1295.0
  156   0.952  66740   73013    7.530  513.193  28.641   94.953 -12.748   3.28  0000 363.7 1286.0
  160   1.002  41951   73017    8.645  512.021  28.680   94.859 -12.507   3.52  0000 368.3 1093.0
  163   1.039  59149   73020    8.755  511.107  28.683   94.788 -12.698   3.33  0000 368.7 1092.0
  164   1.052  59595   73021    7.746  509.885  28.643   94.699 -12.571   3.46  0000 364.6 1090.0
  165   1.064  50771   73022    8.259  508.150  28.660   94.564 -12.605   3.43  0000 367.3 1024.0
  168   1.102  35457   73025    9.149  506.008  28.689   94.397 -12.323   3.71  0000 369.6  940.0
  173   1.164  29996   73030    8.645  504.005  28.668   94.246 -12.257   3.77  0000 367.4  999.0
  174   1.177  34571   73031   11.758  500.564  28.778   93.974 -12.203   3.83  0000 373.7  918.0
