#
#   version : pre1.0-239-gcf65bfc
#    num_fr : 64
#    num_tr : 0
#      time : 20180521 04:31:21.700 UTC
#      unix : 1526877081.700746
#       ntp : LOCK -6222 5744 3
#       seq : 256485
#       mul : 0 [A]
#      site : 02
#    latlon : 43.1928 -81.3157 324.0
#      text : Elginfield_Wide_G4-18-C
#    stream : KT
#     plate : metal_20180201_02_pre1.0-177-g5127e76
#      geom : 900 900
#    filter : 0
#
#  fr    time    sum     seq       cx       cy      th      phi     lsp    mag  flag   bak    max
   80  -0.075  60107  256479  398.540  161.825  44.409   74.968 -12.627   3.40  0000 1026.3 2397.0
   83  -0.038 106617  256482  393.893  169.903  44.178   75.340 -13.055   2.98  0000 1064.5 2778.0
   84  -0.025  97047  256483  397.508  171.283  44.300   75.450 -13.043   2.99  0000 1078.0 2533.0
   85  -0.013 121115  256484  401.260  173.151  44.423   75.586 -13.144   2.89  0000 1093.9 3147.0
   86   0.000 126550  256485  404.280  173.408  44.531   75.631 -13.231   2.80  0000 1101.9 3825.0
   87   0.013 126524  256486  409.389  175.326  44.703   75.783 -13.212   2.82  0000 1119.8 3579.0
   88   0.025 125120  256487  411.936  174.674  44.801   75.775 -13.240   2.79  0000 1116.9 2999.0
   89   0.038  69623  256488  417.284  176.773  44.981   75.938 -12.260   3.77  0000 1137.2 2774.0
   90   0.050  71519  256489  418.519  177.565  45.021   75.991 -12.281   3.75  0000 1143.3 3460.0
   91   0.063  82084  256490  424.098  179.273  45.212   76.134 -12.413   3.62  0000 1158.2 3412.0
   92   0.075  84478  256491  427.402  181.093  45.320   76.260 -12.412   3.62  0000 1161.7 3171.0
   93   0.088 109263  256492  432.948  181.795  45.518   76.350 -12.820   3.21  0000 1155.5 3455.0
   94   0.100  70570  256493  435.367  183.654  45.594   76.468 -12.031   4.00  0000 1161.7 3676.0
   95   0.113  97343  256494  439.611  183.344  45.752   76.492 -12.580   3.45  0000 1157.2 3313.0
   96   0.125  83277  256495  444.768  184.146  45.935   76.582 -12.433   3.60  0000 1156.5 3273.0
   97   0.138  98736  256496  445.874  186.264  45.961   76.700 -12.568   3.46  0000 1168.3 3344.0
   98   0.150  86947  256497  450.255  187.477  46.113   76.802 -12.284   3.75  0000 1165.7 3277.0
   99   0.163  79736  256498  453.941  188.294  46.243   76.878 -12.319   3.71  0000 1173.0 3224.0
  100   0.175  85572  256499  457.797  189.388  46.377   76.968 -12.613   3.42  0000 1182.0 3563.0
  101   0.188  99329  256500  460.719  190.434  46.477   77.047 -12.605   3.43  0000 1203.9 3845.0
  102   0.200  94635  256501  464.529  190.806  46.614   77.100 -12.497   3.53  0000 1220.6 3228.0
  103   0.213  98041  256502  468.601  193.022  46.749   77.248 -12.596   3.43  0000 1238.5 3533.0
  104   0.225  99334  256503  472.834  193.235  46.903   77.296 -12.678   3.35  0000 1235.4 3955.0
  105   0.238  81882  256504  475.386  195.407  46.983   77.427 -12.553   3.48  0000 1241.0 3689.0
  106   0.250  96835  256505  480.212  196.572  47.152   77.527 -12.614   3.42  0000 1239.3 4445.0
  107   0.263 106185  256506  483.410  196.917  47.268   77.571 -12.773   3.26  0000 1230.9 3917.0
